,,,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,8%,,,,,,,
,,Number of Records,,,,,,,,,,,,,3,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Global Arts Studies Program 156E,A,% of Total Number of Records along Grade Code Final,,3%,,,,,,,,,,,,,,,,,,
,,Number of Records,,2,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,19%,,,,,,,,,,,,,,,,,
,,Number of Records,,,15,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,14%,,,,,,,,,,,,,,,
,,Number of Records,,,,,11,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,17%,,,,,,,,,,,,,,
,,Number of Records,,,,,,13,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,14%,,,,,,,,,,,,,,,,
,,Number of Records,,,,11,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,9%,,,,,,,,,,,,
,,Number of Records,,,,,,,,7,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,5%,,,,,,,,,,,
,,Number of Records,,,,,,,,,4,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,5%,,,,,,,,,,,,,
,,Number of Records,,,,,,,4,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
,,Number of Records,,,,,,,,,,,,,4,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,5%,,
,,Number of Records,,,,,,,,,,,,,,,,,,4,,
Global Arts Studies Program 157,A,% of Total Number of Records along Grade Code Final,,22%,,,,,,,,,,,,,,,,,,
,,Number of Records,,14,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,12%,,,,,,,,,,,,,,,,,
,,Number of Records,,,8,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,8%,,,,,,,,,,,,,,,,,,,
,,Number of Records,5,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
,,Number of Records,,,,,7,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,18%,,,,,,,,,,,,,,
,,Number of Records,,,,,,12,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
,,Number of Records,,,,7,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
,,Number of Records,,,,,,,,2,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,5%,,,,,,,,,,,
,,Number of Records,,,,,,,,,3,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,6%,,,,,,,,,,,,,
,,Number of Records,,,,,,,4,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Global Arts Studies Program 158B,A,% of Total Number of Records along Grade Code Final,,13%,,,,,,,,,,,,,,,,,,
,,Number of Records,,8,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,33%,,,,,,,,,,,,,,,,,
,,Number of Records,,,20,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,8%,,,,,,,,,,,,,,,
,,Number of Records,,,,,5,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
,,Number of Records,,,,,,4,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,16%,,,,,,,,,,,,,,,,
,,Number of Records,,,,10,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
,,Number of Records,,,,,,,5,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,7%,,,,,,,
,,Number of Records,,,,,,,,,,,,,4,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,3%,,
,,Number of Records,,,,,,,,,,,,,,,,,,2,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Global Arts Studies Program 159,A,% of Total Number of Records along Grade Code Final,,16%,,,,,,,,,,,,,,,,,,
,,Number of Records,,16,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,21%,,,,,,,,,,,,,,,,,
,,Number of Records,,,21,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,17%,,,,,,,,,,,,,,,,,,,
,,Number of Records,17,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
,,Number of Records,,,,,15,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,6%,,,,,,,,,,,,,,
,,Number of Records,,,,,,6,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
,,Number of Records,,,,8,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
,,Number of Records,,,,,,,,3,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,2,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,3%,,,,,,,,,,,,,
,,Number of Records,,,,,,,3,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
,,Number of Records,,,,,,,,,,,,2,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
,,Number of Records,,,,,,,,,,1,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,3%,,,,,,,
,,Number of Records,,,,,,,,,,,,,3,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,3,,,,,,
Global Arts Studies Program 160,A,% of Total Number of Records along Grade Code Final,,12%,,,,,,,,,,,,,,,,,,
,,Number of Records,,6,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,16%,,,,,,,,,,,,,,,,,
,,Number of Records,,,8,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,20%,,,,,,,,,,,,,,,
,,Number of Records,,,,,10,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,22%,,,,,,,,,,,,,,
,,Number of Records,,,,,,11,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,18%,,,,,,,,,,,,,,,,
,,Number of Records,,,,9,,,,,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,6%,,,,,,,,,,,,,
,,Number of Records,,,,,,,3,,,,,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,1,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Global Arts Studies Program 171,A,% of Total Number of Records along Grade Code Final,,19%,,,,,,,,,,,,,,,,,,
,,Number of Records,,3,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,38%,,,,,,,,,,,,,,,,,
,,Number of Records,,,6,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,19%,,,,,,,,,,,,,,,
,,Number of Records,,,,,3,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,6%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,19%,,,,,,,,,,,,,,,,
,,Number of Records,,,,3,,,,,,,,,,,,,,,,
Global Arts Studies Program 172,A,% of Total Number of Records along Grade Code Final,,29%,,,,,,,,,,,,,,,,,,
,,Number of Records,,12,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,19%,,,,,,,,,,,,,,,,,
,,Number of Records,,,8,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,14%,,,,,,,,,,,,,,,,,,,
,,Number of Records,6,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,19%,,,,,,,,,,,,,,,
,,Number of Records,,,,,8,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,2%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
,,Number of Records,,,,4,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,5%,,,,,,,,,,,,
,,Number of Records,,,,,,,,2,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
Global Arts Studies Program 172B,A,% of Total Number of Records along Grade Code Final,,4%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,12%,,,,,,,,,,,,,,,,,
,,Number of Records,,,3,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,20%,,,,,,,,,,,,,,,,,,,
,,Number of Records,5,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,8%,,,,,,,,,,,,,,,
,,Number of Records,,,,,2,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,4%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
,,Number of Records,,,,2,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,8%,,,,,,,,,,,,
,,Number of Records,,,,,,,,2,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,12%,,,,,,,,,,,
,,Number of Records,,,,,,,,,3,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,4%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,8%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,4%,,
,,Number of Records,,,,,,,,,,,,,,,,,,1,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Global Arts Studies Program 174A,A,% of Total Number of Records along Grade Code Final,,12%,,,,,,,,,,,,,,,,,,
,,Number of Records,,6,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,30%,,,,,,,,,,,,,,,,,
,,Number of Records,,,15,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,18%,,,,,,,,,,,,,,,
,,Number of Records,,,,,9,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,4,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,18%,,,,,,,,,,,,,,,,
,,Number of Records,,,,9,,,,,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,2,,,,,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,1,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Global Arts Studies Program 174B,A,% of Total Number of Records along Grade Code Final,,44%,,,,,,,,,,,,,,,,,,
,,Number of Records,,4,,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,33%,,,,,,,,,,,,,,,,,,,
,,Number of Records,3,,,,,,,,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,11%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,11%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
Global Arts Studies Program 175,A,% of Total Number of Records along Grade Code Final,,26%,,,,,,,,,,,,,,,,,,
,,Number of Records,,7,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,15%,,,,,,,,,,,,,,,,,
,,Number of Records,,,4,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
,,Number of Records,,,,,3,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,19%,,,,,,,,,,,,,,,,
,,Number of Records,,,,5,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,11%,,,,,,,,,,,,
,,Number of Records,,,,,,,,3,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,4%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,7%,,,,,,,,
,,Number of Records,,,,,,,,,,,,2,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
Global Arts Studies Program 179A,A,% of Total Number of Records along Grade Code Final,,22%,,,,,,,,,,,,,,,,,,
,,Number of Records,,8,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,14%,,,,,,,,,,,,,,,,,
,,Number of Records,,,5,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,3%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
,,Number of Records,,,,4,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,8%,,,,,,,,,,,,
,,Number of Records,,,,,,,,3,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,6%,,,,,,,,,,,,,
,,Number of Records,,,,,,,2,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,17%,,,,,,,
,,Number of Records,,,,,,,,,,,,,6,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,6%,,,,
,,Number of Records,,,,,,,,,,,,,,,,2,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,3%,,
,,Number of Records,,,,,,,,,,,,,,,,,,1,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Global Arts Studies Program 190,A,% of Total Number of Records along Grade Code Final,,60%,,,,,,,,,,,,,,,,,,
,,Number of Records,,38,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,10%,,,,,,,,,,,,,,,,,
,,Number of Records,,,6,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,5%,,,,,,,,,,,,,,,,,,,
,,Number of Records,3,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,6,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,5%,,,,,,,,,,,,,,
,,Number of Records,,,,,,3,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,3%,,,,,,,,,,,,,,,,
,,Number of Records,,,,2,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,5%,,,,,,,,,,,
,,Number of Records,,,,,,,,,3,,,,,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,2%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
Global Arts Studies Program 191,A,% of Total Number of Records along Grade Code Final,,38%,,,,,,,,,,,,,,,,,,
,,Number of Records,,15,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,35%,,,,,,,,,,,,,,,,,
,,Number of Records,,,14,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,5%,,,,,,,,,,,,,,,,
,,Number of Records,,,,2,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,5%,,,,,,,,,,,,
,,Number of Records,,,,,,,,2,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,3%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,5%,,,,,,,,,,,,,
,,Number of Records,,,,,,,2,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
Global Arts Studies Program 192,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,99%,,
,,Number of Records,,,,,,,,,,,,,,,,,,91,,
Global Arts Studies Program 195,A,% of Total Number of Records along Grade Code Final,,44%,,,,,,,,,,,,,,,,,,
,,Number of Records,,4,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,11%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,22%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
Global Arts Studies Program 198,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,97%,,
,,Number of Records,,,,,,,,,,,,,,,,,,29,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Global Arts Studies Program 199,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,100%,,
,,Number of Records,,,,,,,,,,,,,,,,,,6,,
Graduate Studies 210,A,% of Total Number of Records along Grade Code Final,,60%,,,,,,,,,,,,,,,,,,
,,Number of Records,,6,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,10%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,20%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
Heritage Studies 001,A,% of Total Number of Records along Grade Code Final,,67%,,,,,,,,,,,,,,,,,,
,,Number of Records,,2,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,33%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
Heritage Studies 002,A,% of Total Number of Records along Grade Code Final,,24%,,,,,,,,,,,,,,,,,,
,,Number of Records,,4,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,24%,,,,,,,,,,,,,,,,,
,,Number of Records,,,4,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,12%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,12%,,,,,,,,,,,,,,,
,,Number of Records,,,,,2,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,6%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,12%,,,,,,,,,,,,
,,Number of Records,,,,,,,,2,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,12%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
Heritage Studies 112,A-,% of Total Number of Records along Grade Code Final,,,10%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,20%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,10%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,40%,,,,,,,
,,Number of Records,,,,,,,,,,,,,4,,,,,,,
Heritage Studies 150,A,% of Total Number of Records along Grade Code Final,,11%,,,,,,,,,,,,,,,,,,
,,Number of Records,,3,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,14%,,,,,,,,,,,,,,,,,
,,Number of Records,,,4,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
,,Number of Records,,,,,3,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,11%,,,,,,,,,,,,,,
